,Values,,,,,,
Row Labels,Sum of Census_1981,Sum of Census_1986,Sum of Census_1991,Sum of Census_1996,Sum of Census_2002,Sum of Census_2006,Sum of Census_2011
AIRPORT,347,190,224,308,441,1611,3998
BALBRIGGAN RURAL,1927,2471,2964,3454,4501,9615,15146
BALBRIGGAN URBAN,5582,5680,5414,5473,6631,6731,7530
BALDOYLE,6003,6345,6272,6739,6374,5942,6870
BALGRIFFIN,657,565,568,603,590,911,1642
BALLYBOGHIL,570,638,665,702,859,950,1020
BALSCADDEN,402,408,423,505,577,653,666
BLANCHARDSTOWN-ABBOTSTOWN,1545,1410,1603,1531,2537,4122,4863
BLANCHARDSTOWN-BLAKESTOWN,4696,9919,11905,15131,24404,32288,35970
BLANCHARDSTOWN-COOLMINE,4761,7813,8032,7969,9202,10774,10831
BLANCHARDSTOWN-CORDUFF,4988,5128,5112,4725,4346,4806,3799
BLANCHARDSTOWN-DELWOOD,4258,4431,4510,4235,4589,4955,5034
BLANCHARDSTOWN-MULHUDDART,68,1085,1323,1245,1833,2785,3861
BLANCHARDSTOWN-ROSELAWN,2502,2531,2434,2303,2043,1831,1678
BLANCHARDSTOWN-TYRRELSTOWN,61,268,1160,1473,1653,1559,2120
CASTLEKNOCK-KNOCKMAROON,3889,6399,8556,11095,14859,17115,18071
CASTLEKNOCK-PARK,3328,4071,4649,4840,4561,4395,5128
CLONMETHAN,389,415,427,492,605,625,785
DONABATE,3395,3402,3830,4320,6141,7600,8730
DUBBER,600,657,590,577,838,3747,6330
GARRISTOWN,906,986,981,1060,1162,1182,1434
HOLLYWOOD,725,842,874,900,952,998,1250
HOLMPATRICK,2740,3128,3168,3248,3328,3154,3218
HOWTH,9188,9327,9173,9008,8706,8196,8261
KILSALLAGHAN,1777,1915,1904,1877,2032,2081,2199
KINSALEY,799,2013,3063,3282,3528,5526,8441
LUCAN NORTH,345,298,317,340,338,1163,1358
LUSK,2723,3209,3503,3740,4131,7048,8814
MALAHIDE EAST,4525,4703,4866,6444,5281,6213,6769
MALAHIDE WEST,4720,5033,5964,5246,6315,6271,6270
PORTMARNOCK NORTH,4728,5430,5497,5582,5071,4588,4110
PORTMARNOCK SOUTH,3578,3709,3767,3706,3338,3522,3462
RUSH,3859,4493,4831,5433,6759,8280,9207
SKERRIES,4488,5213,5362,5704,7612,8175,8344
SUTTON,6227,6537,6697,6510,6203,5914,5605
SWORDS VILLAGE,2397,2169,2234,2300,2572,2514,2571
SWORDS-FORREST,4264,4849,4846,7088,7679,12443,7737
SWORDS-GLASMORE,2121,4878,6638,7911,9797,7799,13868
SWORDS-LISSENHALL,2315,2491,2774,3222,6081,9072,9676
SWORDS-SEATOWN,983,1927,3265,4425,4919,5934,6535
THE WARD,605,576,575,806,1308,5181,8181
TURNAPIN,970,927,1806,1861,1717,1723,1669
Grand Total,114951,138479,152766,167413,196413,239992,273051
